Date, Time, Open, High, Low, Last, Volume, OpenInt, OHLC Avg, HLC Avg, HL Avg, Bid Volume, Ask Volume, LBR Bars, 3/10, Mov Avg 3/10, 3/10 Diff, Line, Avg, Avg, IB, WR7, NR7, TP, 3BT, Pure 3BT, BO, HBO, LBO, PF3, PF3[1], 5SMA, ERun, STPvt, SIG, LongoBO, ShortBO, ROC, ROC (alt), ROC[1], STPvt, Highest ROC, Lowest ROC, LLHHDraw, RANK, ADX
2022-2-22, 00:00:00.000000, 38860, 39460, 36340, 37915, 12994, 5247, 38144, 37905, 37900, 0, 0, -1, -2925.332, 938.448, -3863.781, 0.000, 41441, 41430, 0, 0, 0, 50.0, 0, 0, 0, 44275, 36340, 0, 0, 0, 0, 36960, 1, 41460, 38430, -2985.000, -2985.000, -4230.000, 36960.000, 7970.000, -5455.000, 0.000, 85.8, 24.1
2022-2-23, 00:00:00.000000, 37890, 39235, 37365, 37660, 9503, 3161, 38038, 38087, 38300, 0, 0, -1, -3337.332, 819.053, -4156.385, 0.000, 41081, 40119, 39235, 0, 0, 29.9, 1, 0, 0, 41000, 36340, 0, 0, 0, 0, 35630, 2, 41035, 34795, -2285.000, -2285.000, -2985.000, 35630.000, 7970.000, -5455.000, 0.000, 92.1, 23.9
2022-2-24, 00:00:00.000000, 37670, 39740, 34295, 38360, 14197, 1422, 37516, 37465, 37018, 0, 0, -1, -3216.168, 625.063, -3841.231, 0.000, 40822, 38956, 0, 1, 0, 0.0, 0, 0, 0, 39740, 34295, 0, 0, 0, 1, 38105, 2, 39530, 35790, 445.000, 445.000, -2285.000, 38105.000, 7970.000, -5455.000, 0.000, 96.0, 24.5
2022-2-25, 00:00:00.000000, 38055, 39700, 37865, 39115, 6107, 8181, 38684, 38893, 38783, 0, 0, -1, -2309.668, 467.792, -2777.460, 0.000, 40659, 38599, 39700, 0, 0, 33.1, 1, 0, 0, 39740, 34295, 0, 0, 1, 0, 39815, 2, 43805, 32915, 1455.000, 1455.000, 445.000, 39815.000, 7970.000, -5455.000, 0.000, 103.2, 25.1
2022-2-28, 00:00:00.000000, 37860, 42055, 37055, 42000, 9471, 7995, 39743, 40370, 39555, 0, 0, 1, -824.000, 409.563, -1233.563, 0.000, 40787, 39010, 0, 0, 0, 25.3, 0, 0, 1, 42055, 34295, 0, 0, 0, 0, 42755, 2, 40950, 37280, 3640.000, 3640.000, 1455.000, 42755.000, 7970.000, -5455.000, 0.000, 111.5, 24.5
2022-3-1, 00:00:00.000000, 43100, 45110, 42930, 44240, 8747, 7934, 43845, 44093, 44020, 0, 0, 1, 932.500, 433.677, 498.823, 0.000, 41116, 40275, 0, 0, 0, 50.0, 0, 0, 0, 45110, 37055, 1, 0, 0, 0, 47125, 2, 47000, 37000, 5125.000, 5125.000, 3640.000, 47125.000, 7970.000, -5455.000, 0.000, 115.3, 22.8
2022-3-2, 00:00:00.000000, 44205, 45455, 43420, 43925, 6395, 7970, 44251, 44267, 44438, 0, 0, 1, 2564.832, 464.073, 2100.759, 0.000, 41383, 41528, 0, 0, 0, 39.5, 0, 0, 0, 45455, 37055, 0, 1, 0, 0, 46165, -1, 46420, 42060, 1925.000, 1925.000, 5125.000, 46165.000, 7970.000, -5455.000, 0.000, 112.3, 21.3
2022-3-3, 00:00:00.000000, 44205, 44325, 41870, 42080, 6109, 7629, 43120, 42758, 43098, 0, 0, 1, 2801.000, 387.781, 2413.219, 0.000, 41450, 42272, 0, 0, 0, 22.4, 0, 0, 0, 45455, 41870, 0, 0, 0, 0, 41765, -2, 45960, 41890, -2160.000, -2160.000, 1925.000, 41765.000, 7970.000, -5455.000, 0.000, 100.2, 20.2
2022-3-4, 00:00:00.000000, 42495, 42640, 39090, 39545, 5656, 7566, 40943, 40425, 40865, 0, 0, 1, 1371.500, 183.052, 1188.448, 0.000, 41268, 42358, 0, 0, 0, 39.3, 0, 0, 0, 45455, 39090, -1, 0, 0, 0, 37700, -2, 44535, 39625, -4380.000, -4380.000, -2160.000, 37700.000, 7970.000, -5455.000, 0.000, 89.4, 20.1
2022-3-7, 00:00:00.000000, 39060, 39540, 37180, 37540, 5831, 7461, 38330, 38087, 38360, 0, 0, -1, -516.332, -84.677, -431.655, 0.000, 40913, 41466, 0, 0, 0, 45.7, 0, 0, 0, 44325, 37180, -1, -1, 0, 0, 35005, -2, 43095, 35995, -4540.000, -4540.000, -4380.000, 35005.000, 7970.000, -5455.000, 0.000, 85.5, 20.5
