,next_ret
0,-0.008855819702148438
1,-0.0214080810546875
2,-0.00669097900390625
3,-0.04699993133544922
4,-0.04699993133544922
5,-0.03577613830566406
6,-0.05772876739501953
7,-0.04751300811767578
8,-0.010601043701171875
9,-0.042366981506347656
10,-0.042366981506347656
11,-0.013765335083007812
12,-0.033199310302734375
13,-0.054798126220703125
14,-0.08147716522216797
15,-0.16214466094970703
16,-0.16771793365478516
17,-0.16771793365478516
18,-0.16771793365478516
19,-0.16771793365478516
20,-0.16771793365478516
21,-0.16771793365478516
22,-0.18224430084228516
23,-0.18235015869140625
24,-0.10100841522216797
25,-0.060214996337890625
26,-0.060214996337890625
27,-0.060214996337890625
28,-0.0083160400390625
29,0.0063915252685546875
30,0.0063915252685546875
31,0.01714611053466797
32,0.01714611053466797
33,0.01714611053466797
34,0.04697227478027344
35,0.0819559097290039
36,0.15783309936523438
37,0.13550281524658203
38,0.1484537124633789
39,0.19812393188476562
40,0.1598958969116211
41,0.19397640228271484
42,0.18630027770996094
43,0.25084400177001953
44,0.2439737319946289
45,0.2916431427001953
46,0.32218074798583984
47,0.2642059326171875
48,0.23468494415283203
49,0.23468494415283203
50,0.23468494415283203
51,0.2827777862548828
52,0.24506568908691406
53,0.24506568908691406
54,0.2674531936645508
55,0.3056650161743164
56,0.3206167221069336
57,0.2932090759277344
58,0.29288291931152344
59,0.29288291931152344
60,0.2758817672729492
61,0.25269508361816406
62,0.2371377944946289
63,0.24982261657714844
64,0.2548952102661133
65,0.2548952102661133
66,0.2548952102661133
67,0.2548952102661133
68,0.2548952102661133
69,0.2548952102661133
70,0.2548952102661133
71,0.2548952102661133
72,0.3082857131958008
73,0.23668766021728516
74,0.23668766021728516
75,0.22292041778564453
76,0.2196798324584961
77,0.28527355194091797
78,0.37479305267333984
79,0.37479305267333984
80,0.37479305267333984
81,0.37479305267333984
82,0.35784244537353516
83,0.35784244537353516
84,0.35784244537353516
85,0.35784244537353516
86,0.38537120819091797
87,0.3480234146118164
88,0.3306608200073242
89,0.3306608200073242
90,0.32329368591308594
91,0.3635568618774414
92,0.36775875091552734
93,0.29663944244384766
94,0.2885446548461914
95,0.2885446548461914
96,0.2885446548461914
97,0.2885446548461914
98,0.2885446548461914
99,0.2885446548461914
100,0.3026762008666992
101,0.3026762008666992
102,0.3026762008666992
103,0.3026762008666992
104,0.3026762008666992
105,0.3292675018310547
106,0.3396415710449219
107,0.37396717071533203
108,0.3761301040649414
109,0.3761301040649414
110,0.3761301040649414
111,0.4015951156616211
112,0.4015951156616211
113,0.4015951156616211
114,0.4015951156616211
115,0.3409128189086914
116,0.3409128189086914
117,0.3435087203979492
118,0.3159189224243164
119,0.2814979553222656
120,0.16759872436523438
121,0.16759872436523438
122,0.1699695587158203
123,0.1815176010131836
124,0.16635513305664062
125,0.12499523162841797
126,0.12936878204345703
127,0.12936878204345703
128,0.12936878204345703
129,0.05233955383300781
130,0.028713226318359375
131,0.028713226318359375
132,0.028713226318359375
133,0.028713226318359375
134,0.028713226318359375
135,-0.042449951171875
136,0.009510040283203125
137,0.0023641586303710938
138,-0.04054737091064453
139,-0.10268020629882812
140,-0.10268020629882812
141,-0.10268020629882812
142,-0.10268020629882812
143,-0.10268020629882812
144,-0.13616371154785156
145,-0.13616371154785156
146,-0.13616371154785156
147,-0.16492176055908203
148,-0.16577720642089844
149,-0.1366119384765625
150,-0.15761756896972656
151,-0.12962818145751953
152,-0.12631988525390625
153,-0.08653068542480469
154,-0.10210323333740234
155,-0.025918006896972656
156,-0.031327247619628906
157,-0.04582786560058594
158,-0.07820510864257812
159,-0.09586811065673828
160,-0.09586811065673828
161,-0.0970602035522461
162,-0.04444313049316406
