,Open,High,Low,Close,Volume,OpenInt,OHLC Avg,HLC Avg,HL Avg,Bid Volume,Ask Volume,LBR Bars,3/10,Mov Avg 3/10,3/10 Diff,Line,Avg,Avg.1,IB,WR7,NR7,TP,3BT,Pure 3BT,BO,HBO,LBO,PF3,PF3[1],5SMA,ERun,STPvt,SIG,LongoBO,ShortBO,ROC,ROC (alt),ROC[1],STPvt.1,Highest ROC,Lowest ROC,LLHHDraw,RANK,ADX,log_ret,atr,roc,rsi,bb_mavg,bb_high,bb_low,bb_width,bb_position,adx,stoch,stoch_signal,sma_5_ratio,hl_ratio,volume_sma,volume_ratio,state
0,44310.0,48005.0,43830.0,46505.0,3796.0,5368,45663,46113,45918,0,0,0,1.332,0.0,0.0,0.0,45758,45772,0,0,0,0.8,0,0,0,48005,43780,0,0,0,0,44410,1,46895,41825,50.0,50.0,-1135.0,44410.0,410.0,-1135.0,0.0,102.2,0.0,0.047222137,3077.962999131944,2.220024,62.24841992021157,45773.333333333336,47772.50538418061,43774.161282486064,8.735094891555221,0.6829924208765592,0.0,64.49704142011835,57.94995511162364,1.0160141571266277,0.6407186,4144.333333333333,0.9159494892624247,0
1,46905.0,48100.0,45630.0,46095.0,4125.0,5448,46683,46608,46865,0,0,0,-172.5,0.0,0.0,0.0,45854,45782,0,0,0,21.9,0,0,0,48100,43780,0,0,0,0,48240,2,50680,42330,1735.0,1735.0,50.0,48240.0,1735.0,-1135.0,1735.0,99.2,0.0,-0.00885582,2875.308666087962,-0.77494353,54.182598517362464,45653.333333333336,47512.76574374488,43793.90092292179,8.145877966172067,0.6187638400281646,43.934448607124125,53.58796296296296,45.690091477393715,1.0068367480669258,0.18825911,4370.333333333333,0.9438639310502416,2
2,46000.0,47205.0,44520.0,45520.0,4393.0,5442,45811,45748,45863,0,0,0,257.855,0.0,0.0,0.0,45771,45787,0,0,0,18.6,1,0,0,48100,43830,0,0,0,0,45110,-1,48565,43625,-985.0,-985.0,1735.0,45110.0,1735.0,-1135.0,0.0,102.6,0.0,-0.012552261,2811.872444058641,2.6149685,42.57693634308053,46040.0,46848.00165016332,45231.99834983668,3.5099984802924493,0.1782184789505628,37.95509134194749,39.578454332552695,52.554486238544676,0.9941686504903139,0.37243947,4104.666666666667,1.0702452493097026,2
3,44795.0,46105.0,44155.0,44855.0,5149.0,5225,44978,45038,45130,0,0,0,-176.25,0.0,0.0,0.0,45567,45467,0,0,0,27.9,0,0,0,48100,44155,0,0,0,0,44280,-2,48205,42835,-1240.0,-1240.0,-985.0,44280.0,1735.0,-1240.0,-1240.0,96.5,0.0,-0.014717102,2524.5816293724274,-3.5480056,31.042200471098425,45490.0,46503.34429818628,44476.65570181372,4.455239824956178,0.18668102187155797,38.46949006554098,17.74397972116603,36.9701323388939,0.9865396881254537,0.35897437,4555.666666666667,1.1302407258359304,1
4,44530.0,46900.0,43900.0,46700.0,6208.0,5221,45508,45833,45400,0,0,0,-89.441,0.0,0.0,0.0,45794,45935,0,0,0,5.0,0,0,0,47205,43900,0,0,0,0,46035,1,46805,42905,1180.0,1180.0,-1240.0,46035.0,1735.0,-1240.0,0.0,101.3,0.0,0.040308952,2683.0544195816183,1.3125068,67.58671821284403,45691.666666666664,47217.53982289194,44165.79351044139,6.678999771914379,0.8304119117698101,29.84622038393854,84.72012102874433,47.34751836082102,1.0166539675628605,0.93333334,5250.0,1.182476190476168,0
5,46545.0,49185.0,46370.0,48730.0,5402.0,4654,47708,48095,47778,0,0,0,685.668,0.0,0.0,0.0,46328,46380,0,0,0,41.2,0,0,0,49185,43900,0,0,0,0,50575,2,49700,43700,3875.0,3875.0,1180.0,50575.0,3875.0,-1240.0,3875.0,107.1,0.0,0.04255104,2727.0362797210787,7.0518456,82.70960464643775,46761.666666666664,49926.79260763998,43596.54072569335,13.537267452571482,0.8109407603426937,42.069152820085804,91.3907284768212,64.61827640891052,1.050668391548081,0.8383659,5586.333333333333,0.9670028044632561,0
6,48815.0,50585.0,48640.0,49280.0,5956.0,4117,49330,49502,49613,0,0,1,1837.168,0.0,0.0,0.0,46820,47017,0,0,1,44.8,0,0,0,50585,43900,0,0,0,0,51310,-1,51545,45915,2580.0,2580.0,3875.0,51310.0,3875.0,-1240.0,0.0,109.9,0.0,0.011223793,2466.3575198140525,9.865121,85.4655371815041,48236.666666666664,50455.75556879645,46017.57776453688,9.20083851342596,0.7350814634627564,54.25618574485727,80.47868362004488,85.52984437520347,1.0481315268945275,0.32904884,5855.333333333333,1.0171923033132013,0
7,49520.0,49885.0,47725.0,48210.0,5776.0,3686,48835,48607,48805,0,0,1,2069.0,0.0,0.0,0.0,47034,47555,0,0,0,24.4,1,0,0,50585,46370,0,0,0,0,48760,-2,51225,47335,-520.0,-520.0,2580.0,48760.0,3875.0,-1240.0,0.0,103.2,0.0,-0.02195263,2364.2383465427015,3.2334049,58.33300380217821,48740.0,49613.765796233,47866.234203767,3.5854156595527193,0.1967150681080847,46.790541087274875,43.65361803084223,71.84101004256944,1.0137735253916518,0.22453703,5711.333333333333,1.0113225166335764,2
8,48205.0,49135.0,47065.0,48705.0,6128.0,2844,48278,48302,48100,0,0,1,1835.668,0.0,0.0,0.0,47272,48325,0,0,0,25.3,0,0,0,50585,47065,0,0,0,1,47635,-2,50370,46050,-575.0,-575.0,-520.0,47635.0,3875.0,-1240.0,0.0,99.9,0.0,0.010215759,2266.1588976951343,-0.051303096,65.85508526093383,48731.666666666664,49606.1315824231,47857.20175091023,3.588898043393144,0.4847525805860116,32.11059518828084,46.59090909090909,56.90773691393207,1.0078634247284015,0.79227054,5953.333333333333,1.029339305711069,2
9,48950.0,49345.0,46230.0,46940.0,6139.0,1604,47866,47505,47788,0,0,1,797.668,0.0,0.0,0.0,47228,48373,0,1,0,9.6,0,0,0,49885,46230,0,0,1,0,47435,-2,50775,46635,-1270.0,-1270.0,-575.0,47435.0,3875.0,-1270.0,-1270.0,95.3,0.0,-0.036911964,2549.105931796756,-4.7483764,33.50459064138131,47951.666666666664,49438.37070207146,46464.96263126187,6.200844052989996,0.1597619154268226,30.60236220629533,19.425444596443228,36.556657239398184,0.9703760362185516,0.22792937,6014.333333333333,1.0207282602671226,1
